objid,ra,dec,petroMag_i,petroMag_z,petroMag_u,petroMag_g,petroMag_r,ur,p_cs,p_el
1237674648853479429,176.554436918506,-1.08984671948347,17.21386,17.07197,20.25409,18.40198,17.58763,2.666456,0.574000000953674,0.377000004053116
1237671140406853859,176.437314292519,-1.18006639843489,15.97105,15.70465,19.03373,17.17679,16.34771,2.686018,0.0689999982714653,0.888999998569489
1237674648853414057,176.484745770289,-1.20169219770863,16.68917,16.49343,19.26145,17.96815,17.13737,2.124086,0.39300000667572,0.570999979972839
1237674648853414085,176.518340618496,-1.10376011013021,17.14419,16.74345,20.19946,18.62232,17.56923,2.630224,0.14300000667572,0.762000024318695
1237674648853414196,176.519963262707,-1.08688432786727,17.45559,17.73046,19.0891,18.06736,17.78367,1.305429,0.303999990224838,0.48199999332428
1237674648853414088,176.529130274595,-1.09372553863476,15.88739,15.55498,19.45331,17.39903,16.33417,3.119139,0.0320000015199184,0.940999984741211
1237674648853414112,176.534565622367,-1.11938404920862,16.40829,16.09245,20.48312,17.89587,16.83121,3.651915,0,0.418000012636185
1237674648853414113,176.534140147454,-1.12078189238753,16.30804,15.95514,20.07479,17.89333,16.74975,3.325035,0.0240000002086163,0.397000014781952
1237674648853479547,176.563809701777,-1.0961281473925,15.68442,15.45573,18.24829,16.69596,16.02724,2.22105,0.939000010490417,0
1237674648853479627,176.66640893039,-1.14959532028098,17.02142,16.61318,19.99231,18.54501,17.51212,2.48019,0.100000001490116,0.833000004291534
1237674648853479615,176.647704938414,-1.12952395408652,17.05701,16.70071,20.38612,18.57257,17.50178,2.884344,0.0160000007599592,0.828000009059906
1237674648853479716,176.681235240568,-1.158073599499,16.7601,16.53252,19.09195,17.97226,17.16612,1.925829,0.446000009775162,0.51800000667572
1237674648853479646,176.685506737067,-1.08607334575442,16.18304,16.10312,18.38359,17.04764,16.46864,1.914953,0.818000018596649,0.181999996304512
1237674648853545063,176.709503505994,-1.08507570710136,17.19455,16.92092,20.51142,18.7139,17.66539,2.846031,0.112999998033047,0.790000021457672
1237674648853479699,176.630278539602,-1.10474119132318,17.43092,17.47416,19.66644,18.3127,17.80096,1.865479,0.547999978065491,0.33899998664856
1237674648853479703,176.636013078647,-1.07504777313481,17.21137,17.10458,19.03605,18.17886,17.59663,1.439413,0.591000020503998,0.317999988794327
1237671139870048458,176.74279508048,-1.17269614367303,17.08262,16.74639,19.56723,18.23815,17.46475,2.102486,0.0829999968409538,0.833000004291534
1237674648853545080,176.746244863339,-1.09408668685793,15.8851,15.58463,18.84344,17.14878,16.3242,2.519239,0.912999987602234,0.0869999974966049
1237671139870048502,176.809625926477,-1.15470062995733,17.4743,17.18933,20.34085,18.62746,17.81997,2.520882,0.204999998211861,0.568000018596649
1237671139870113918,176.86792801547,-1.18483826315437,16.27932,15.96453,19.57631,17.74124,16.71256,2.86375,0.0710000023245811,0.833000004291534
1237671139870048480,176.901632971737,-1.23391057642711,16.05542,15.83558,18.46853,17.16397,16.47491,1.993622,0.317999988794327,0.658999979496002
1237674648853610662,176.998126635657,-1.10999929206588,15.91466,15.59177,18.83795,17.24483,16.3448,2.493145,0.034000001847744,0.379000008106232
1237674648853610663,176.998899309933,-1.10584603005962,15.90344,15.70353,19.60459,17.25443,16.33274,3.271847,0.423000007867813,0.19200000166893
1237671139870179462,176.974315862145,-1.0725591612036,17.43695,17.33188,19.1087,18.10353,17.70302,1.405682,0.689999997615814,0.275999993085861
1237674648853676243,177.154971804713,-1.21283205821481,15.20236,14.88115,18.42593,16.63835,15.63839,2.787535,0.00300000002607703,0.964999973773956
1237674648853741720,177.163187064923,-1.13740909244943,16.80924,16.48575,19.97076,18.18472,17.22404,2.746712,0.194000005722046,0.777999997138977
1237674648853741728,177.166381317266,-1.20219081169895,16.92413,16.6098,20.63311,18.40791,17.40016,3.232952,0.158000007271767,0.736999988555908
1237674648853741736,177.169908425739,-1.19465968284627,17.2382,16.8746,20.30887,18.68141,17.74233,2.566538,0.559000015258789,0.407000005245209
1237674648853741743,177.175555432816,-1.20214354789543,17.19032,16.86075,20.48732,18.56168,17.59807,2.889256,0.344999998807907,0.617999970912933
1237674648853741760,177.208339273078,-1.18287121761585,18.38559,17.98335,21.7356,19.72767,18.72816,3.007433,0.0309999994933605,0.531000018119812
1237674648853741762,177.203942109579,-1.18559512532599,17.19951,16.86988,19.99147,18.50768,17.60894,2.38253,0.0610000006854534,0.758000016212463
